"","Value","Class"
"221",221,"Paleudolls"
"222",222,"Paleudults"
"223",223,"Paleustalfs"
"224",224,"Paleustolls"
"225",225,"Paleustults"
"226",226,"Palexeralfs"
"227",227,"Palexerolls"
"228",228,"Palexerults"
"229",229,"Pelloxererts"
"230",230,"Pelluderts"
"231",231,"Pellusterts"
"232",232,"Petraquepts"
"233",233,"Petroargids"
"234",234,"Petrocalcids"
"235",235,"Petrocambids"
"236",236,"Petrocryids"
"237",237,"Petrogypsids"
"238",238,"Placaquods"
"239",239,"Plinthaquults"
"240",240,"Psammaquents"
"241",241,"Psammowassents"
"242",242,"Quartzipsamments"
"243",243,"Rendolls"
"244",244,"Rhodoxeralfs"
"245",245,"Rhodudalfs"
"246",246,"Rhodudults"
"247",247,"Rhodustalfs"
"248",248,"Salitorrerts"
"249",249,"Salorthids"
"250",250,"Sphagnofibrists"
"251",251,"Sulfaquents"
"252",252,"Sulfihemists"
"253",253,"Sulfisaprists"
"254",254,"Sulfiwassents"
"255",255,"Torrerts"
"256",256,"Torriarents"
"257",257,"Torrifluvents"
"258",258,"Torriorthents"
"259",259,"Torripsamments"
"260",260,"Tropaquepts"
"261",261,"Tropofluvents"
"262",262,"Troporthents"
"263",263,"Troporthods"
"264",264,"Tropudalfs"
"265",265,"Tropudults"
"266",266,"Udarents"
"267",267,"Udifluvents"
"268",268,"Udifolists"
"269",269,"Udipsamments"
"270",270,"Udivitrands"
"271",271,"Udorthents"
"272",272,"Umbraqualfs"
"273",273,"Umbraquults"
"274",274,"Ustifluvents"
"275",275,"Ustipsamments"
"276",276,"Ustivitrands"
"277",277,"Ustochrepts"
"278",278,"Ustorthents"
"279",279,"Ustropepts"
"280",280,"Vermaqualfs"
"281",281,"Vermudolls"
"282",282,"Vitrandepts"
"283",283,"Vitraquands"
"284",284,"Vitricryands"
"285",285,"Vitrixerands"
"286",286,"Xerarents"
"287",287,"Xerochrepts"
"288",288,"Xerofluvents"
"289",289,"Xeropsamments"
"290",290,"Xerorthents"
"291",291,"Xerumbrepts"
